Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
162.9145728643216	0.1	1.1981816743237095	0.8345979757739416	537.194079860833	620.6538774382271	5.391856834571828	1.5676291564371927	2.1089312760512127	333.12190365174496	13.441792860171976	6.445002018456058e-06	0.017408878374093648	vapor
164.1959798994975	0.1	1.188518169988259	0.8413838553346464	539.217503642008	623.3558891754727	5.4083774025345015	1.5675456528676237	2.108333176374905	334.4799538629113	13.248943528022483	6.49569413567052e-06	0.01755993312783823	vapor
165.47738693467338	0.1	1.179013732756482	0.8481665414210606	541.2405066985067	626.0571608406127	5.42476505166322	1.5674855995074937	2.1077759877479476	335.83132802680024	13.060863183054078	6.546234705575653e-06	0.01771102308347221	vapor
166.75879396984925	0.1	1.1696643241326101	0.8549461408439312	543.2631300451608	628.7577441295539	5.441022143825821	1.5674486868730715	2.107258592093708	337.17611464370054	12.877368527894959	6.596625918161627e-06	0.017862151669675985	vapor
168.04020100502512	0.1	1.1604660473055355	0.8617227555445344	545.2854138179603	631.4576893724137	5.457150978490771	1.5674346610343004	2.1067799744472433	338.5143987641905	12.69828550478903	6.6468698875102e-06	0.01801332319293066	vapor
169.321608040201	0.1	1.1514151406671322	0.8684964828763655	547.3073973729977	634.1570456606343	5.473153795376945	1.5674433192525261	2.1063392152336258	339.8462621521311	12.523448733408532	6.6969686560117045e-06	0.018164542924283822	vapor
170.6030150753769	0.1	1.1425079717027031	0.8752674158672866	549.3291193778629	636.8558609645916	5.48903277694759	1.5674745059433972	2.105935483143843	341.17178343887434	12.352700987440862	6.746924198278223e-06	0.018315817216063266	vapor
171.88442211055278	0.1	1.133741031227588	0.8820356434636786	551.3506178960599	639.5541822424277	5.504790050759715	1.5675281089360067	2.1055680285548894	342.4910382693666	12.185892707132485	6.796738424779105e-06	0.01846715365886783	vapor
173.16582914572865	0.1	1.1251109279460922	0.8888012507580171	553.3719304649743	642.252055540776	5.52042769167923	1.567604056002205	2.1052361774458728	343.8040994407578	12.022881545171007	6.84641318522218e-06	0.018618561293994657	vapor
174.44723618090453	0.1	1.1166143833108364	0.8955643192011669	555.3930941678667	644.9495260879834	5.535947723971265	1.5677023116326079	2.104939325766729	345.1110370340759	11.863531943472685	6.895950271701965e-06	0.01877005090402111	vapor
175.7286432160804	0.1	1.1082482266623808	0.9023249268005752	557.4141457003298	647.6466383803872	5.55135212327431	1.5678228740381184	2.10467693422027	346.4119185394683	11.707714738617472	6.945351421633997e-06	0.018921635416465018	vapor
177.0100502512563	0.1	1.1000093906305775	0.9090831483054456	559.4351214316049	650.3434362621493	5.56664281846613	1.5679657723578608	2.1044485234221506	347.7068089754722	11.555306793837522	6.9946183204926796e-06	0.019073330475792072	vapor
